Node ID (sub-cluster),Relationship,Node ID (cluster)
3889,SUBTYPE,2190
3889,SUBTYPE,70877
3889,SUBTYPE,70768
3889,SUBTYPE,1362
3889,SUBTYPE,12288
3889,SUBTYPE,72242
3889,SUBTYPE,4943
3889,SUBTYPE,74566
3889,SUBTYPE,4853
3889,SUBTYPE,70459
3889,SUBTYPE,7570
3889,SUBTYPE,73435
3889,SUBTYPE,70219
3889,SUBTYPE,75083
3889,SUBTYPE,77155
3889,SUBTYPE,9695
3889,SUBTYPE,73778
3889,SUBTYPE,74512
3889,SUBTYPE,80413
3889,SUBTYPE,715
3889,SUBTYPE,76017
3889,SUBTYPE,73004
3889,SUBTYPE,77532
3889,SUBTYPE,11495
3889,SUBTYPE,9934
3889,SUBTYPE,2442
3889,SUBTYPE,11451
3889,SUBTYPE,70472
3889,SUBTYPE,70669
3889,SUBTYPE,5328
3889,SUBTYPE,3456
3889,SUBTYPE,72634
3889,SUBTYPE,77768
3889,SUBTYPE,1865
3889,SUBTYPE,69764
3889,SUBTYPE,1021
3889,SUBTYPE,71302
3889,SUBTYPE,7107
3889,SUBTYPE,11021
3889,SUBTYPE,2929
3889,SUBTYPE,5831
3889,SUBTYPE,74486
3889,SUBTYPE,881
3889,SUBTYPE,74206
3889,SUBTYPE,75688
3889,SUBTYPE,76363
3889,SUBTYPE,5461
3889,SUBTYPE,73912
3889,SUBTYPE,6570
3889,SUBTYPE,72314
3889,SUBTYPE,633
3889,SUBTYPE,3902
3889,SUBTYPE,79165
3889,SUBTYPE,9679
3889,SUBTYPE,73804
3889,SUBTYPE,68995
3889,SUBTYPE,12294
3889,SUBTYPE,81688
3889,SUBTYPE,7234
3889,SUBTYPE,78324
3889,SUBTYPE,77202
3889,SUBTYPE,3525
3889,SUBTYPE,6332
3889,SUBTYPE,10956
3889,SUBTYPE,81205
3889,SUBTYPE,2200
3889,SUBTYPE,70122
3889,SUBTYPE,2031
3889,SUBTYPE,5133
3889,SUBTYPE,70064
3889,SUBTYPE,11529
3889,SUBTYPE,262
3889,SUBTYPE,71139
3889,SUBTYPE,2529
3889,SUBTYPE,8132
3889,SUBTYPE,6619
3889,SUBTYPE,76145
3889,SUBTYPE,68336
3889,SUBTYPE,13850
3889,SUBTYPE,10037
3889,SUBTYPE,8739
3889,SUBTYPE,67390
3889,SUBTYPE,78740
3889,SUBTYPE,13339
3889,SUBTYPE,13154
3889,SUBTYPE,78550
3889,SUBTYPE,72936
3889,SUBTYPE,5666
3889,SUBTYPE,72963
3889,SUBTYPE,67743
3889,SUBTYPE,12551
3889,SUBTYPE,79145
3889,SUBTYPE,70926
3889,SUBTYPE,76612
3889,SUBTYPE,14812
3889,SUBTYPE,4428
3889,SUBTYPE,12592
3889,SUBTYPE,8488
3889,SUBTYPE,7897
3889,SUBTYPE,73975
3889,SUBTYPE,13443
3889,SUBTYPE,8899
3889,SUBTYPE,10283
3889,SUBTYPE,13438
3889,SUBTYPE,6518
3889,SUBTYPE,81069
3889,SUBTYPE,14602
3889,SUBTYPE,81111
